Investor name,Website,Global HQ,Countries of investment,Stage of investment,Investment thesis,Investor type,First cheque minimum,First cheque maximum
Abhishek Parolkar,,Singapore,"Canada,USA,India,Malaysia,Philippines,Singapore,Sri Lanka,Taiwan,Vietnam","3. Early Revenue,4. Scaling,5. Growth","I invest in
* Atleast 10k+ MRR from Product Revenue (excluding services revenue)
* B2B Tools
* Founders Own >50% equity
",Solo angel,"$25,000","$300,000"
Abhishek Roushan,,"Bengaluru, India","China,Hong Kong,India,Indonesia,Japan,Cyprus,Czech Republic,Denmark,Estonia,Finland,Italy",3. Early Revenue,"I invest in SAAS, With Early Sign of Revenue and GenZ founders. Preferred Market is SEA. Exited last co at +100M.",Solo angel,"$1,000","$25,000"
Abhishek Suri,,"Seattle, US","USA,India,France,Netherlands,Switzerland,UK","1. Idea or Patent,2. Prototype,3. Early Revenue",I invest in tech that reduces time spent by people using in doing things they hate or want to do less of,Solo angel,"$5,000","$25,000"
Abraseed-1,https://www.abraseed.com.com,"Paris, France","Algeria,Egypt,Israel,Jordan,Kuwait,Morocco,Qatar,Saudi Arabia,Tunisia,Turkey","2. Prototype,3. Early Revenue,4. Scaling","We invest in every tech industries, specially in deeptech, AI, synbio, edtech, SaaS",VC,"$200,000","$500,000"
Abstraction Capital,https://abstraction.vc,"9237 Ward Parkway, Kansas City, MO",USA,"1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in pre-seed and seed rounds for companies building products in the developer tool and cloud infrastructure space.,VC,"$50,000","$400,000"
Abundant,https://www.abundantventurepartners.com/,515 N State Chicago IL,USA,"1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in digital health companies that benefit healthcare providers and health systems,VC,"$250,000","$2,000,000"
Acasia Group,https://acasia.group/,"Consoleya, 5 El-Fadl, Bab Al Louq, Abdeen, Cairo Governorate 11513.","Egypt,Qatar,UAE,Saudi Arabia,Bahrain,Kuwait,Lebanon,Jordan","1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in Architecture, Construction, and Engineering Technology","Incubator, Accelerator","$25,000","$25,000"
Accel Atoms,https://atoms.accel.com/,"Bengaluru, IN","India,Indonesia,Singapore,UAE","1. Idea or Patent,2. Prototype","We invest in the earliest stages of emerging ideas, irrespective of an MVP, with founders who can commit to building their company full time.","Incubator, Accelerator","$100,000","$1,000,000"
Accelerace,https://www.accelerace.io/,"Fruebjergvej 3, 2100 Copenhagen, 2100, DK","Denmark,Sweden,Finland","1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in and accelerate early-stage, ideally pre-seeds. Industry-agnostic.","Incubator, Accelerator","$50,000","$1,000,000"
Accelerate Venture Partners,https://www.avpict.com/,"245 N. Waco, Ste# 230A Wichita, KS 67202 USA",USA,"3. Early Revenue,4. Scaling","We invest in early-stage, high-growth companies in Wichita and the Midwest.",Angel network,"$100,000","$500,000"
Accion Venture,https://www.accion.org/ventures,"1101 15th St., NW, Suite 400, Washington, D.C., 20005, US","Kenya,Nigeria,South Africa,Argentina,Brazil,Chile,Colombia,Mexico,Peru,USA,India,Indonesia,Pakistan,Philippines,Poland,UK,Egypt,UAE","3. Early Revenue,4. Scaling",We invest in for-profit enterprises with new products or business models that expand the range of high-quality financial services for underserved populations.,VC,"$200,000","$500,000"
Ace of Cups,http://aceofcups.vc/,1680 Michigan Ave Suite 700 #488 Miami Beach FL 33139 United States,"USA,UK,France,Italy,Denmark,Norway,Sweden,Netherlands,Germany","2. Prototype,3. Early Revenue,4. Scaling","We invest in creators who focus on craftsmanship, prioritize innovative recipes, techniques, and ingredients, and are bold enough to disrupt the drinks industry, aiming to toss alcohol drinking into the dumpster of history. 

We are interested in built from the ground up wine alternatives, aperitifs and anything fermented, especially tea-based. Open to consider functional drinks with genuine science-backed benefits. ",Angel network,"$15,000","$250,000"
ACF Investors,https://www.acfinvestors.com/,"Sheffield Technology Park, Arundel Street, Sheffield, S1 2NS",UK,"2. Prototype,3. Early Revenue,4. Scaling",We invest in UK based companies across almost all sectors and with each investment we look to coinvest with alongside sector smart angel investors.,VC,"$300,000","$1,000,000"
Acrobator Ventures,https://acrobator.vc/,"Weesperplein 4A, 1018XA Amsterdam, the Netherlands ","Armenia,Estonia,Lithuania,Latvia,Georgia,Poland,USA,Netherlands,Ukraine",3. Early Revenue,We invest in Eastern Diaspora founders building international software companies on the cusp of international expansion at pre/seed stage.,VC,"$150,000","$2,000,000"
Acronym Venture Capital,https://acronymvc.com/,"16590 Germaine Dr, Delray Beach, FL 33446","USA,Canada","3. Early Revenue,4. Scaling","We invest in Late Seed and Series A venture capital financing rounds of software/internet/tech companies. We invest primarily into Enterprise Saas companies, Fintech, Hospitality Tech, Real Estate / PropTech, Workflow Tech, E-commerce, and Omni Channel Consumer Brands. Companies must have at least $1m in ARR. ",VC,"$350,000","$3,000,000"
Act Venture Capital,https://www.actventure.capital,"6 Richview Office Park, Dublin 14, Dublin 14, IE","Ireland,UK,Germany,Norway,Denmark,France,Spain,Sweden","2. Prototype,3. Early Revenue,4. Scaling","We invest in AI/ML and data, business applications, cloud & infrastructure, connectivity & IoT, deep tech, e-commerce, energy & climate, fintech, gaming & media, health, logistics & mobility, privacy & security. Focused on Seed and Series A/B opportunities across Europe.",VC,"$100,000","$10,000,000"
Act Venture Partners,https://act-vc.com/,"Amsterdam, Netherlands","Denmark,Finland,Germany,Ireland,Netherlands,Spain,Sweden,UK,Turkey","3. Early Revenue,4. Scaling",We invest in European tech entrepreneurs at an early stage.,VC,"$100,000","$1,000,000"
Actio Capital Ventures (ACV),https://www.actiocapital.ventures/,"Kurzemes prospekts 28 - 27  Rīga, LV-1067  Latvia","Estonia,Latvia,Lithuania","1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in retail, health, and consumer goods. We believe that these industries offer significant potential for disruptive innovation and sustained growth.

Our investment strategy centers on providing seed funding and support to promising startups at a critical stage of their development. With ticket sizes ranging from 2000€ up to 20000€, we aim to fuel the initial growth and expansion of these ventures, allowing them to reach key milestones and attract further investment.

In the retail sector, we actively seek out startups that are leveraging technology and innovative business models to reshape the consumer experience. This includes companies involved in e-commerce, direct-to-consumer brands, marketplace platforms, supply chain optimization, and retail analytics. By investing in these ventures, we aim to support the transformation of traditional retail models and drive industry-wide innovation.

Within the health industry, we target startups that are revolutionizing healthcare delivery, improving patient outcomes, and enhancing access to quality care. This encompasses areas such as digital health solutions, telemedicine, healthtech platforms, medical devices, and health data analytics. Our goal is to invest in companies that have the potential to make a significant impact on the healthcare landscape and address the evolving needs of patients and providers.

In the consumer goods sector, we focus on startups that are creating innovative products, services, and experiences that resonate with today's discerning consumers. This includes companies involved in areas such as sustainable and ethical consumer goods, personalized products, direct-to-consumer brands, and subscription-based models. By investing in these ventures, we aim to support the development of consumer-centric solutions that align with evolving consumer preferences and market trends.

Throughout our investment process, we are committed to partnering with ambitious and visionary entrepreneurs who demonstrate a deep understanding of their target markets and possess the drive to disrupt the status quo. In addition to capital, we offer our portfolio companies strategic guidance, mentorship, and access to our extensive network of industry experts and resources, all aimed at maximizing their chances of success.

As an early-stage investor, we understand the risks involved in supporting nascent ventures, but we also recognize the potential rewards of backing the right ideas and teams. Our investment thesis is grounded in a thorough evaluation of market dynamics, growth potential, competitive landscapes, and the unique value propositions of each startup. By combining a data-driven approach with our industry expertise, we strive to identify and nurture the next generation of game-changing startups in the retail, health, and consumer goods sectors.

We believe that by focusing on these sectors and providing tailored support to early-stage startups, we can play a significant role in shaping the future of these industries, fostering innovation, and generating attractive returns for our investors.",VC,"$1,000","$25,000"
Active Impact Investments,https://www.activeimpactinvestments.com/,"402-106 West 1st Street,  North Vancouver, BC  V7M 2E7, Canada","USA,Canada","4. Scaling,3. Early Revenue","We invest in seed stage companies companies facilitating the transition from finite to infinite sources of energy, food, water & products. ",VC,"$500,000","$1,500,000"
Acton Capital,https://actoncapital.com/,"Widenmayerstrasse 29, Munich, 80538, DE","Germany,UK,Sweden,Canada,France,Spain,USA,Finland,Norway","3. Early Revenue,4. Scaling,5. Growth",We invest with a clear focus on tech-enabled business models throughout Europe and North America – B2C or B2B – around Series A/B.,VC,"$3,000,000","$12,000,000"
Adam Borowicz,,Poland,"Bulgaria,Cyprus,Czech Republic,Estonia,Finland,France,Georgia,Greece,Hungary,Latvia,Liechtenstein,Lithuania,Poland,Romania,Serbia,Slovakia,Slovenia,Sweden,UK,Ukraine",3. Early Revenue,I invest in B2B software products; founders from CEE diaspora,Solo angel,"$1,000,000","$10,000,000"
Adam Haney,,"NYC, US",USA,1. Idea or Patent,"I invest in full stack AI services businesses, AI Tools and AI Infrastructure.
I invest in Marketplaces especially human labor and skill based marketplaces",Solo angel,"$5,000","$100,000"
Adam Morand,https://www.ionplay.com/,"Calgary, Alberta,  Canada ","Antigua and Barbuda,Barbados,Canada,Trinidad and Tobago,USA,Uruguay,Japan","2. Prototype,3. Early Revenue","I invest in disruptively intelligent entrepreneurs focused on economically viable and sustainable solutions for basal human needs.

https://www.ionplay.com/",Solo angel,"$50,000","$50,000"
Adam Zaorski,https://adamzaorski.com/,"New York, NY","USA,Poland,UK","1. Idea or Patent,2. Prototype,3. Early Revenue","I invest in...

Update: Currently not investing as focusing on my own startup but always happy to help in any form you think I can.

Interesting industries: B2B SaaS, social commerce, fintech, AI/ML, VR/AR, consumer, bio hacking, productivity.",Solo angel,"$5,000","$25,000"
Adams Street Partners,https://www.adamsstreetpartners.com/,"One North Wacker Drive, Suite 2700 Chicago, IL, 60606",USA,"5. Growth,6. Pre-IPO","We invest in rapidly growing, category-leading venture and growth companies across multiple stages, targeting application software, cloud infrastructure, financial technology, consumer, and healthcare.",VC,"$5,000,000","$75,000,000"
Addendum Capital,https://www.addendum.capital,"Calle Fortuny, 14, Madrid, Spain","France,Germany,Italy,Netherlands,Portugal,Spain,UK","1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in B2B SaaS at early-stage.,VC,"$50,000","$300,000"
Addium Capital,https://addiumcapital.com/,Nigeria,"Nigeria,Ghana,Kenya","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO","We invest in technology startups and gender-focused businesses in consumer, finance, tech, and supply chain.",VC,"$20,000","$1,000,000"
Adelie Capital,https://adelie.vc/,"8 place de l'Opéra, 75009 Paris, France","France,UK,Germany,Switzerland,Spain,Italy,Belgium","3. Early Revenue,4. Scaling,5. Growth","We invest in fast-growing European tech companies powered by ambitious teams and with a great potential for scalability. We are sector agnostic: we believe in entrepreneurs, the explorers of the 21st century.",VC,"$500,000","$3,000,000"
Adesso Ventures,https://www.adesso.vc/,"Prinzenstraße 34, 10969 , Berlin, DE","Austria,Belgium,Czech Republic,Denmark,Estonia,Finland,France,Germany,Hungary,Ireland,Italy,Latvia,Liechtenstein,Lithuania,Luxembourg,Netherlands,Poland,Portugal,Romania,Spain,Sweden,Switzerland,UK","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest in verticalized software, everything along the software development process and digital health.",Corporate VC,"$100,000","$1,000,000"
Adevinta Ventures,https://www.adevinta.com/ventures/,"Barcelona, Catalonia, Spain","France,Germany,Italy,Netherlands,Spain","3. Early Revenue,4. Scaling","We invest in fast-growing European startups (sweet spot in Series A and Series B) that can shape the future of mobility, real estate, work and fintech. Leveraging the top positions of Adevinta's brands (e.g. leboncoin, Mobile.de, Fotocasa, Coches.net, Subito) Adevinta Ventures adds strong value and is a long-term partner to portfolio companies.",Corporate VC,"$1,000,000","$7,000,000"
AdirVentures,https://adirvc.com/,"New York, NY","USA,Israel,UK","3. Early Revenue,4. Scaling","We invest in traditional insurance, distribution and Insurtech.  We also love SAAS solutions that may look to sell into insurance carriers or sell adjacent to insurance products. ",VC,"$1,000,000","$5,000,000"
Aditya Kumar,,"Sunnyvale, CA 94086",USA,"2. Prototype,3. Early Revenue,4. Scaling,5. Growth","I invest in startup incorporated in the USA and working on the following technologies.
- Developer tools
- Blockchain

The founder (or one of the co-founders) should be from tech, knows the ins and outs of their offering.",Solo angel,"$10,000","$50,000"
ADIV,https://adiv.vc,Tel Aviv,"USA,Israel,UAE","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest in dual-use and deep tech startups, leveraging Starburst 4x markup and Fortune Global 500 partners. ",VC,"$250,000","$2,000,000"
Adrian Wong,,"Cambridge, UK","Canada,USA,UK,Australia,New Zealand","3. Early Revenue,4. Scaling",I invest in early-stage founders leveraging unfair advantages to build category-leading dual-use/defence technology startups around the world.,Solo angel,"$200,000","$500,000"
AdTay Ventures,https://www.adtayventures.com/,"21 West Hampstead Mews, London, NW6 3BB, United Kingdom","UK,Israel","3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO",We invest in Seed to late stage startups across Europe and Israel,VC,"$100,000","$10,000,000"
Advantage Capital,https://www.advantagecap.com/,"909 Poydras St Ste 2230, New Orleans, LA 70112",USA,"3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO","We invest in small businesses, affordable housing and renewable energy with an emphasis on driving capital to underserved areas. 

We look to make an impact on communities starting with the businesses in those areas. We look to support the growth of these companies and increase the number of accessible jobs in distressed communities with capital.",Other,"$1,000,000","$15,000,000"
Aera VC,https://www.aera.vc/,Singapore,"USA,New Zealand,Australia,Singapore,India,UK,France,Canada","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling",We invest in deep tech ventures to reverse climate change and flourish humanity.,VC,"$500,000","$2,000,000"
Aescuvest,https://www.aescuvest.eu/,"Hanauer Landstraße 328, 60314 Frankfurt am Main, Germany","Germany,Israel,Austria,Belgium,Bulgaria,Croatia,Czech Republic,Denmark,Sweden,Finland,France,Greece,Hungary,Ireland,Norway,Spain,Portugal,Ukraine,UK,Switzerland",3. Early Revenue,"We invest in medical breakthrough innovations in the areas of: digital drug, digital device and digital detection and diagnosis.",VC,"$1,000,000","$5,000,000"
Aezist,https://www.aezist.com/,"78 SW 7th St, Miami, FL 33130","USA,Austria,Mexico,Colombia,Peru,Brazil,France,UK,Spain,Switzerland,Sweden,Norway,Germany,Poland,South Africa,Nigeria,UAE,Hong Kong,Israel,Estonia,Japan,Ecuador,Italy,Georgia,Canada","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO","We invest in B2B freight-tech, insurance-tech, synthetic biology, crop protection, energy, mobility, space, ed-tech, fintech, cybersecurity and homeopathic products.",Family office,"$350,000","$1,500,000"
AFI Ventures,https://allianceforimpact.com/fr/afi-ventures/,"47, Avenue de l'opéra, Paris, Île-de-France 75002, FR","France,UK,Spain,Germany,Italy,Netherlands","3. Early Revenue,2. Prototype,4. Scaling",We invest in impact-driven startups reimagining every sector of the global economy in a fairer and more sustainable way.,VC,"$150,000","$500,000"
Afore Capital,https://afore.vc,"237 Kearny St, Ste 9225, San Francisco, CA 94108, United States",,"1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in Pre-Seed and Seed rounds in companies fundamentally augmenting how the future of society will operate. We are anti-thematic by design and hyperfocused on accelerating the 0-to-1 journey.,VC,"$1,000,000","$2,000,000"
Africa Growth LLC,https://africa-growth.com/,"254 Chapman Rd, Ste 208 #9561 Newark, DE 19702","South Africa,Nigeria,Kenya,Rwanda,Ghana,Zimbabwe,Central African Republic,Mozambique,Zambia,Tanzania,Burkina Faso,Burundi,Algeria,Madagascar,Comoros,Mauritius,Sudan,South Sudan,Ethiopia,Seychelles,Namibia,Benin,Guinea-Bissau,Botswana,Niger,Senegal,Malawi,Mali,Uganda,Cameroon,DRC Congo,Djibouti,Morocco,Tunisia,Egypt,Togo,Gabon,Angola,Cabo Verde,Sao Tome and Principe,Liberia,Lesotho,""Eswatini (fmr. """"Swaziland"""")"",Côte d'Ivoire,Gambia,Sierra Leone,Guinea,Equatorial Guinea,Mauritania,Chad","3. Early Revenue,2. Prototype,4. Scaling,5. Growth","We invest in B2B tech, Energy, Renewables, Water, Agtech and Fintech sector businesses in the pre to early growth phase with low to no product risk.",VC,"$50,000","$1,000,000"
Afrimobility,https://afrimobility.com/,"18, Boulevard Massira El Khadra, Casablanca","Belgium,Canada,Cameroon,Côte d'Ivoire,Denmark,Egypt,Estonia,France,Finland,Germany,Ireland,Italy,Kenya,Luxembourg,Morocco,Netherlands,Nigeria,Norway,Portugal,Saudi Arabia,Senegal,Singapore,Spain,Sweden,Switzerland,Tunisia,UAE,UK,USA,Austria","3. Early Revenue,4. Scaling","We invest in HealthTech, FinTech, ClimateTech, DeepTech, AgriTech, and B2B SaaS startups from pre-Seed to Series A that are post-launch and post-revenue, have strong tech components, and have high growth potential.",Corporate VC,"$100,000","$500,000"
Ag Ventures Alliance,https://www.agventuresalliance.com/,"Mason City, IA",USA,"1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in seed-stage agtech in the US.,VC,"$100,000","$200,000"
AgeTech Capital,https://www.agetechcapital.com/,"3400 De L'Éclipse Street Suite 720 Montreal, Quebec J4Z 0P3 Canada","USA,Canada,UK","3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO","We invest in Longevity, HealthTech, CareTech, Digital Wellness, FemTech, Financial Wellbeing, Aging-in-Place, Preventive Health, AgeTech startups focused on Empowered Health, Independent Living, and Caregiver Enablement.",VC,"$500,000","$5,000,000"
Agnition ventures,https://agnition.ventures/,"292 Main South Road, Hornby, Christchurch 8042 New Zealdand",Australia,"1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling",We invest in agtech / agritech  around the world.,Corporate VC,"$100,000","$300,000"
AgriBoom Ventures,https://agriboom.com/,"Říkov 265, 55203, Czech Republic","Czech Republic,Germany,Poland,Italy,Israel,USA,Canada,Austria,Slovakia,Belgium,Estonia,Finland,France,Croatia,Cyprus,Latvia,Spain,Portugal,Luxembourg,Lithuania,Netherlands,Greece,Slovenia,Ireland","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling,5. Growth","We invest is agriculture, our secondary verticals are gardening, agricultural biotechnology, agrochemicals, biowaste management and processing, mechanical and electrical engineering (including machinery and manufacturing)",VC,"$10,000","$4,000,000"
Agustin Ferreira Pose,,Barcelona,Spain,"1. Idea or Patent,2. Prototype,3. Early Revenue",I invest in real-life applications of machine learning and AI projects. Main focus relies on Health and Services industry.,Solo angel,"$1,000","$25,000"
Agya Ventures,https://agyaventures.com/,"430 Park Avenue, New York, NY 10022, United States of America","USA,India,Israel,Singapore","2. Prototype,3. Early Revenue,4. Scaling","We invest in seed, seed extension and Series A staged real estate tech and construction tech companies.",VC,"$250,000","$1,000,000"
AHL Venture Partners,https://www.ahlventurepartners.com/,"ABC Place, Westlands, Nairobi, Kenya","Kenya,Egypt,Ethiopia,Mauritania,Rwanda,South Africa,Zambia","3. Early Revenue,4. Scaling,5. Growth","We invest in Fintech, Impact Investing, Africa Rising, Smart Climate, ",VC,"$3,000,000","$5,000,000"
AI Fund,https://aifund.ai/,"195 Page Mill Road Suite 115, Palo Alto, CA 94306, United States",USA,"1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in tech entrepreneurs who are solving large problems with creative uses of AI/ML. We’re open to all AI applications, but these are the sectors we’re particularly excited about:

Human capital: Creating and enabling talent, ensuring access to jobs, and training and education in all sectors and levels. 

Health and wellness: Helping companies create the infrastructure and tools that enable healthier and longer lives physically and mentally.

Next-generation enterprise: Empowering companies that change how people work and how enterprise systems/processes are automated.

MLOps: Making ML systems easier to build, deploy and maintain in a variety of industries and applications.",VC,"$250,000","$1,000,000"
AIP Seed VC,https://aipseed.vc,"Warsaw, Poland",Poland,"1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in founders of all origins who wants to build something amazing from Poland or are polish diaspora. We are looking for global projects with AI component.,VC,"$50,000","$400,000"
Airbridge Equity Partners,https://airbridge.nl/,"Mondriaan tower, Amsterdam, The Netherlands","Netherlands,Belgium,Germany,Switzerland,Austria,Sweden,Denmark,Norway,Finland","4. Scaling,3. Early Revenue","We invest in companies where technology is at the heart of what they do and critical to the problems they solve for their clients. Whether as an end-product or an enabling factor, as long as technological innovation is the critical component in providing tangible value.

We especially focus on companies with competitively defensible positions in B2B or B2C value chains in growing markets with a long-term outlook.",VC,"$1,000,000","$5,000,000"
Airtree Ventures,https://www.airtree.vc/,"131 Devonshire St, Surry Hills, New South Wales 2010, AU","Australia,New Zealand","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling",We invest in pre-product and pre-revenue companies.,VC,"$100,000","$10,000,000"
Aish Capital,https://aishcapital.com/,"Jerusalem, Israel","Israel,USA","5. Growth,4. Scaling,3. Early Revenue",We invest $500K-$20M from Seed to Series D,Other,"$500,000","$20,000,000"
Ajim Capital,https://www.ajimcapital.com/,"Austin, TX","South Africa,Nigeria,Egypt,Kenya,Ghana,Cameroon,Côte d'Ivoire,Senegal,Zimbabwe,Rwanda",3. Early Revenue,We invest in pre-seed and seed tech startups based in Sub-Saharan Africa.,VC,"$25,000","$150,000"
Akash Sureka,,India,"USA,India,France,Germany,Norway,Switzerland,UK,Israel","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","I invest in companies and founders who are going after Large market opportunities, Team, Differentiation, Product. Fintech, Edtech, Healthtech, Sales Tech, Mar Tech, Revenue and Supply Management Tech, and Travel Tech are a few areas of interest.",Solo angel,"$1,000","$10,000"
Aksara Ventures,https://aksara.vc,"Jakarta, Indonesia","Indonesia,Singapore","1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in ambitious Indonesian/SEA tech startups,VC,"$50,000","$300,000"
Alain Bourissou,,"Paris, France","Belgium,Denmark,France,Germany,Luxembourg,Monaco","3. Early Revenue,4. Scaling,5. Growth","I invest in particular in Energy Efficiency, Renewable energies, IT, industry, ...",Solo angel,"$5,000","$10,000,000"
Alani Capital,https://www.alanicapital.com,"911202 Renton Rd, Ewa Beach, HI",USA,"1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest in 3 areas:

(1) AI and Machine Learning
De-centralized AI, generative AI, and systems that are provably fair which add value to large and small businesses at scale.

(2) Energy and the Environment
Carbon capture and storage, water management, and waste-to-energy solutions for a cleaner, lasting environment.

(3) Health and Education
Re-imagine clinics and hospital tech for remote care and under-served communities, early detection of new disease, and expanding equity in education for the post-pandemic world.",VC,"$10,000","$1,000,000"
Alarabi Venture Capital,https://alarabiinvest.com/,"512, Index Tower, DIFC, Dubai, UAE","UAE,Saudi Arabia,Bahrain,Jordan,Lebanon,Egypt,Oman,Kuwait,Qatar","3. Early Revenue,4. Scaling",We invest in GCC based technology startups with proven traction.,VC,"$100,000","$500,000"
Alberts Impact Ventures,https://www.alberts.co/,"Level 7, 175 Macquarie Street, Sydney, NSW 2000, AU","Australia,New Zealand","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest in founders with an impact focus: 
- Environmental Sustainability 
- Mental Health & Wellbeing 
- Arts, Music & Entertainment 
- Equality ",VC,"$80,000","$800,000"
Alecla7,https://www.alecla7.com/,"Corso Venezia 54, Milan, Italy","Brazil,Mexico,USA,Singapore,France,Germany,Italy,Spain,Sweden,UK,Israel,UAE","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO","We invest in VC opportunities globally, we are geography and industry agnostic and our sweet spot is Pre-seed to Series A stage (opportunistic from pre-seed to Pre-IPO). We mainly act as follower",Family office,"$100,000","$1,000,000"
Aleph VC,https://aleph.vc/,"Rothschild 32, Tel Aviv, IL","USA,Israel,Canada","3. Early Revenue,2. Prototype","We invest in great Israeli entrepreneurs to build large, meaningful companies. Aleph leads Seed and A rounds in a wide gamut of companies, from b2c edtech like JoyTunes, b2c insurtech like Lemonade, b2b supply-chain like Fabric or b2g like Windward.",VC,"$2,000,000","$12,000,000"
Aletra Capital Partners,https://aletracapitalpartners.com/,"Leemzeulder 14, 1251 AP Laren, Netherlands","Singapore,Netherlands,Canada,USA","3. Early Revenue,4. Scaling,5. Growth",We invest in B2B enterprise/software/medtech companies. The venture should have initial revenue/product market fit (ARR> USD 1Mln) and the potential to scale globally.,VC,"$250,000","$2,500,000"
Alex Bass,https://efficientvc.com,"Austin, TX",USA,"3. Early Revenue,4. Scaling,5. Growth",I invest in efficiency-focused productivity B2B SaaS apps (usually doing at-least $10k/mo MRR),Solo angel,"$5,000","$50,000"
Alex Burciu,,"Cluj-Napoca, Romania","Estonia,Romania","1. Idea or Patent,2. Prototype,3. Early Revenue","I invest in deep tech, AI, web3 and innovative software.",Solo angel,"$10,000","$100,000"
Alex Pang,,Hong Kong,"USA,China,Hong Kong,India,Japan,Singapore,Taiwan,Thailand,Vietnam,UK,Australia","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO","I invest in anything as long as there is opportunity. Basically industry agnostic & country agnostic, have experience in looking into different stages; personally prone to disruptive stuff, but will not limit to anything.",Solo angel,"$1,000","$200,000"
Alex Rosen,,"New York, NY, USA",USA,3. Early Revenue,"I invest in early revenue companies, with a particular focus on the media and entertainment industries",Solo angel,"$25,000","$25,000"
Alexander Jones,,"Maitland, Florida",USA,"2. Prototype,3. Early Revenue",I invest in businesses applying novel technology to traditional/legacy industries to achieve scalable disruption that unlocks value and provides benefit to customers/consumers.,Solo angel,"$1,000","$25,000"
Alexander Sattelmaier,,"Stockholm, Sweden",Sweden,"3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO","I invest in primarily Swedish or Nordic companies, mainly within technology or with a strong technology twist to their products. Must be revenue-generating, with a clear path to profitability.",Solo angel,"$1,000","$10,000"
Alexandre Yokoyama,,"Londrina, Paraná, Brazil","Argentina,Brazil,Chile,USA,Indonesia,Malaysia,Philippines,Singapore,South Korea,Taiwan,Thailand,Vietnam","2. Prototype,3. Early Revenue","I invest in seasoned entrepreneurs, who have deep understanding and experience in B2B. I also mentor startups through Founder Institute and VC Honey Island, and overall I have no restrictions to mentor, despite avoiding potential conflicts of interest with my portfolio.",Solo angel,"$10,000","$100,000"
Alfabeat,https://alfabeat.com/,"Norwida 4, 80-280 Gdańsk, Poland","Poland,Estonia,Latvia,Lithuania,Czech Republic,Slovakia,Hungary,Croatia,Romania,Bulgaria,Slovenia",3. Early Revenue,"We invest in seed Enterprise Software companies from Central and Eastern Europe  with a proven track-record of helping founders raise subsequent rounds, backed by successful Enterprise Software founders who built companies worth over $50B.",VC,"$250,000","$1,000,000"
Aligned Climate Capital,https://www.alignedclimatecapital.com/,"3900 W. Alameda Ave, Burbank, CA 91505","USA,Canada","4. Scaling,3. Early Revenue,5. Growth","We invest in the people, companies, and real assets that are decarbonizing the global economy and its infrastructure.",VC,$0,"$10,000,000"
All Iron Ventures,https://www.alliron.vc/,"Bilbao, Spain","UK,Spain,Portugal,Germany,France",3. Early Revenue,We invest in the Digital sector. Preference of C2C / Transactional / B2B Marketplaces and E-Commerce / Subscription models / SaaS,VC,,"$3,000,000"
All Turtles,https://www.all-turtles.com/,"PO Box 34407, PMB 85948, Little Rock, Arkansas 72203","Canada,USA,Japan","1. Idea or Patent,2. Prototype,3. Early Revenue","We build products and brands with simple, direct business models that solve tangible problems felt by people and companies alike.

Our focus is on future of work and health SaaS startups.

NO web3.","Incubator, Accelerator","$200,000","$200,000"
Allegion Ventures,https://www.allegion.com/corp/en/ventures.html,"11819 N Pennsylvania St, Carmel, IN 46032","USA,Canada,UK,Israel,Singapore,South Korea,China,Japan,Germany,France,Italy,Ireland,Iceland,Hong Kong,Netherlands,Belgium,Sweden,Switzerland,Finland,Norway,Luxembourg,Austria,Australia,Portugal,New Zealand","2. Prototype,6. Pre-IPO,5. Growth,4. Scaling,3. Early Revenue","We invest in solutions that protect people, places, and things in seamless, safe, and secure manner. We are especially interested in enterprise/B2B applications and use cases in the commercial, multi-family, education, and healthcare sectors.",Corporate VC,"$250,000","$5,000,000"
